author_id,author_name,university,city,author_primary_macroarea,author_macroareas,author_topics,article_count,communityId,betweenness
36633010100,Rigo L.C.,Universidade Estadual de Campinas,Campinas,Tie: Philosophy and Humanities | Social Sciences,Philosophy and Humanities | Social Sciences,History | Education,1,4593,0.0
36634130300,Gomes M.S.P.,Universidade Estadual de Campinas,Campinas,Social Sciences,Social Sciences | Arts | Philosophy and Humanities,Social Sciences (all) | Arts and Humanities (all) | Education,2,5943,95361.89030159777
36634531000,Ovens J.S.,University of Ottawa,Ottawa,Chemistry,Chemistry | Engineering | Physics,Materials Science (all) | Engineering (all) | Physics and Astronomy (all) | Catalysis | Chemistry (all) | Inorganic Chemistry,3,4099,1.3333333333333333
36638354000,Rodriguez P.M.,Universidade Federal de Pernambuco,Recife,Computer Science,Computer Science | Mathematics and Statistics | Other/Unclassified,Applied Mathematics | Computational Mathematics | Modeling and Simulation | Numerical Analysis | Analysis,3,2350,88840.0
36639844000,Mavrogordatos T.,Stockholms universitet,Stockholm,Physics,Physics,"Statistical and Nonlinear Physics | Atomic and Molecular Physics, and Optics",1,2894,0.0
36641231200,Macías V.B.,Universidad Tecnologica de la Mixteca,Huajuapan,Philosophy and Humanities,Philosophy and Humanities,Logic,1,7072,0.0
36641425200,Souza E.A.V.,Universidade Estadual de Campinas,Campinas,Physics,Physics | Engineering | Computer Science | Chemistry,"Electronic, Optical and Magnetic Materials | Instrumentation | Atomic and Molecular Physics, and Optics | Spectroscopy | Computer Networks and Communications | Hardware and Architecture | Electrical and Electronic Engineering",5,5674,17.609523809523807
36645689700,Basso M.F.,Universidade Estadual de Campinas,Campinas,Biology,Biology,Plant Science,1,9320,0.0
36647537600,Huband S.,University of Warwick,Coventry,Engineering,Engineering | Chemistry | Physics,"Materials Science (all) | Electronic, Optical and Magnetic Materials | Catalysis | Ceramics and Composites | Chemistry (all) | Surfaces, Coatings and Films | Metals and Alloys | Materials Chemistry",2,2119,0.25
36648008700,Ribeiro B.D.,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Biology,Biology | Geosciences | Engineering | Undefined,"Biotechnology | Environmental Science (miscellaneous) | Agricultural and Biological Sciences (miscellaneous) | Renewable Energy, Sustainability and the Environment | Agronomy and Crop Science | Energy (miscellaneous)",2,6425,347486.13388874586
36650244400,Almeida-Santos M.,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Biology,Biology,"Ecology, Evolution, Behavior and Systematics",1,2900,0.0
36650300500,Costa L.C.,Universidade Federal do ABC,Santo Andre,Tie: Physics | Social Sciences,Social Sciences | Physics,Education | Physics and Astronomy (all),1,1657,0.0
36650382400,Cachioni M.,Universidade de São Paulo,Sao Paulo,Tie: Medicine and Health | Philosophy and Humanities,Philosophy and Humanities | Arts | Medicine and Health | Biology,Archeology (arts and humanities) | History | Arts and Humanities (miscellaneous) | Museology | Psychology (all) | Sensory Systems | Neurology | Neurology (clinical) | Geriatrics and Gerontology | Cognitive Neuroscience,4,5256,35545.0
36650460800,De Oliveira Motta Maia F.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,"Internal Medicine | Medicine (miscellaneous) | Public Health, Environmental and Occupational Health | Nursing (miscellaneous) | Medicine (all) | Nursing (all)",3,8961,248659.0
36651122600,Mendes-Castillo A.M.C.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Medicine (all) | Community and Home Care | Family Practice | Nursing (all),4,8961,239596.99999999997
36651339200,Otoni C.G.,Universidade Federal de São Carlos,Sao Carlos,Engineering,Engineering | Biology | Chemistry | Physics | Medicine and Health,"Engineering (all) | Agricultural and Biological Sciences (all) | Materials Science (all) | Condensed Matter Physics | Surfaces and Interfaces | Spectroscopy | Electrochemistry | Electronic, Optical and Magnetic Materials | Ceramics and Composites | Process Chemistry and Technology | Surfaces, Coatings and Films | Materials Chemistry | Biotechnology | Bioengineering | Biomaterials | Biomedical Engineering | Molecular Biology | Cell Biology",6,3488,177663.0
36651659600,Sofotasios P.C.,Khalifa University,Abu Dhabi,Engineering,Engineering | Computer Science | Mathematics and Statistics,Electrical and Electronic Engineering | Computer Science Applications | Applied Mathematics | Engineering (all),4,6614,2.25
36651681100,Trindade F.C.L.,Universidade Estadual de Campinas,Campinas,Engineering,Engineering | Computer Science | Geosciences | Physics,"Electrical and Electronic Engineering | Energy Engineering and Power Technology | Control and Systems Engineering | Renewable Energy, Sustainability and the Environment | Industrial and Manufacturing Engineering | Artificial Intelligence | Computer Science Applications | Computer Networks and Communications | Hardware and Architecture | Safety, Risk, Reliability and Quality | Nuclear Energy and Engineering | Engineering (all) | Computer Science (all) | Mechanical Engineering",25,5541,1392657.4394700474
36652432200,Bray M.,Cardiff University,Cardiff,Tie: Computer Science | Geosciences,Computer Science | Geosciences,Modeling and Simulation | Earth and Planetary Sciences (all),1,3196,0.0
36652922300,Moreno R.B.Z.L.,Universidade Estadual de Campinas,Campinas,Engineering,Engineering | Geosciences | Chemistry | Undefined,"Fuel Technology | Geotechnical Engineering and Engineering Geology | Energy Engineering and Power Technology | Renewable Energy, Sustainability and the Environment | Mechanical Engineering | Geochemistry and Petrology | Geophysics | Chemistry (all) | Polymers and Plastics | Chemical Engineering (all) | Engineering (miscellaneous) | Energy (all) | Geology",10,3488,106620.5
36655434700,Cunha D.G.F.,Universidade de São Paulo,Sao Paulo,Geosciences,Geosciences | Chemistry | Medicine and Health | Social Sciences | Engineering,"Pollution | Environmental Chemistry | Health, Toxicology and Mutagenesis | Management, Monitoring, Policy and Law | Environmental Science (all) | Environmental Engineering | Waste Management and Disposal",4,22640,21470.240540819195
36657782800,Pires F.F.,Universidade Federal da Paraíba,Joao Pessoa,Tie: Other/Unclassified | Philosophy and Humanities | Social Sciences,Social Sciences | Other/Unclassified | Philosophy and Humanities,Education | Developmental and Educational Psychology | Philosophy,1,14980,0.0
36659886200,Prieto M.J.,Fritz Haber Institute of the Max Planck Society,Berlin,Chemistry,Chemistry | Physics | Engineering,"Condensed Matter Physics | Surfaces and Interfaces | Surfaces, Coatings and Films | Materials Chemistry",1,24170,0.0
36661003500,de Sousa Pereira D.J.,Universidade de São Paulo,Sao Paulo,Geosciences,Geosciences | Biology,Agronomy and Crop Science | Water Science and Technology | Soil Science | Earth-Surface Processes,1,2636,0.0
36661355300,Prieto R.G.,Universidade de São Paulo,Sao Paulo,Social Sciences,Social Sciences,Education | Social Sciences (miscellaneous),1,2914,0.0
36661460900,Rochelle A.L.C.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Biology,Biology,"Ecology, Evolution, Behavior and Systematics",1,2636,0.0
36661621800,Weiser V.d.L.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Geosciences,Geosciences | Biology | Social Sciences,"Forestry | Nature and Landscape Conservation | Management, Monitoring, Policy and Law",1,23597,0.0
36662021500,Pontin Garcia A.,Universidade Estadual de Campinas,Campinas,Biology,Biology | Geosciences | Computer Science | Engineering | Other/Unclassified | Undefined,Agronomy and Crop Science | Forestry | Computer Science Applications | Horticulture | Energy Engineering and Power Technology | Automotive Engineering | Transportation | Control and Optimization | Agricultural and Biological Sciences (miscellaneous) | Multidisciplinary | Animal Science and Zoology,6,6614,431745.7552405538
36662218700,Foggiatto J.A.,Universidade Tecnológica Federal do Paraná,Curitiba,Engineering,Engineering,Mechanical Engineering | Industrial and Manufacturing Engineering,1,1867,0.0
36665879900,Barros W.P.,Universidade Estadual de Campinas,Campinas,Chemistry,Chemistry | Physics,Inorganic Chemistry | Analytical Chemistry | Spectroscopy | Organic Chemistry,2,5674,83822.52326954713
36665912900,Castelo-Fernandez C.,SiDi,Campinas,Computer Science,Computer Science,Theoretical Computer Science | Computer Science (all),1,22907,0.0
36665979800,Colombeau M.,Universidade Estadual de Campinas,Campinas,Mathematics and Statistics,Mathematics and Statistics | Physics,Mathematics (all) | Physics and Astronomy (all) | Applied Mathematics,1,2921,0.0
36666104400,Dantas V.L.,Universidade Federal de Uberlândia,Uberlandia,Biology,Biology | Chemistry | Geosciences,"Ecology, Evolution, Behavior and Systematics | Environmental Chemistry | Ecology | Soil Science | Plant Science",2,23597,12.5
36666182300,Hallwass G.,Fisheries and Food Institute – FIFO (www.fisheriesandfood.com),Rio de Janeiro,Biology,Undefined | Biology | Chemistry,"Multidisciplinary | Ecology, Evolution, Behavior and Systematics | Environmental Chemistry | Ecology",2,3138,0.0
36666347600,Ferrari A.J.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Mathematics and Statistics,Mathematics and Statistics,Algebra and Number Theory | Applied Mathematics,1,24477,0.0
36666754100,Meira V.T.,Universidade Estadual de Campinas,Campinas,Geosciences,Geosciences | Physics,Geology | Geochemistry and Petrology | Geophysics | Earth and Planetary Sciences (miscellaneous) | Space and Planetary Science | Earth-Surface Processes | Earth and Planetary Sciences (all),5,3200,791134.2230782208
36667027100,Oliveira N.M.B.,Universidade Federal de Lavras,Lavras,Engineering,Engineering | Physics | Chemistry | Biology,"Electronic, Optical and Magnetic Materials | Ceramics and Composites | Chemistry (all) | Biomaterials | Condensed Matter Physics | Materials Chemistry",1,415,0.0
36670943700,Andrade J.A.A.,Universidade Federal do Ceará,Fortaleza,Undefined,Undefined,Multidisciplinary,1,3485,0.0
36673933200,Simões L.H.,Universidade Estadual de Campinas,Campinas,Physics,Physics | Chemistry,"Atomic and Molecular Physics, and Optics | Condensed Matter Physics | Physical and Theoretical Chemistry",1,2981,0.0
36674534400,Batista F.R.M.,Universidade de São Paulo,Sao Paulo,Engineering,Engineering | Chemistry,Chemistry (all) | Chemical Engineering (all) | Energy Engineering and Power Technology | Industrial and Manufacturing Engineering,1,11067,0.0
36674748500,Franco-Trecu V.,Universidad de la Republica,Montevideo,Biology,Biology,"Ecology, Evolution, Behavior and Systematics",2,2636,0.0
36675031700,Hinsliff-Smith K.,De Montfort University,Leicester,Philosophy and Humanities,Philosophy and Humanities | Arts,Archeology (arts and humanities) | History | Arts and Humanities (miscellaneous) | Museology,1,5256,0.0
36676294000,Eick R.G.,Hospital Moinhos de Vento,Porto Alegre,Medicine and Health,Medicine and Health,Nephrology | Transplantation,1,5554,0.0
36676868000,Bruder-Nascimento T.,University of Pittsburgh School of Medicine,Pittsburgh,Medicine and Health,Medicine and Health,Pharmacology | Pharmacology (medical),1,9121,0.0
36677980700,Peqqueña Suni J.C.,Universidade Federal do Ceará,Fortaleza,Computer Science,Computer Science | Engineering,Computer Science (all) | Electrical and Electronic Engineering,1,6614,0.0
36678021700,Salathiel A.M.,Universidade de São Paulo,Sao Paulo,Medicine and Health,Medicine and Health,Dermatology,1,11283,0.0
36679566300,Yalonetzky G.I.,Leeds University Business School,Leeds,Social Sciences,Social Sciences | Other/Unclassified | Arts | Philosophy and Humanities,Developmental and Educational Psychology | Arts and Humanities (miscellaneous) | Sociology and Political Science | Social Sciences (all),1,22111,0.0
36680555500,Pocrifka L.A.,Universidade Federal do Amazonas,Manaus,Chemistry,Chemistry | Engineering | Physics,Chemistry (all) | Chemical Engineering (all) | Physics and Astronomy (all),1,22640,0.0
36680811500,Winckler C.,Universidade Federal de São Paulo,Sao Paulo,Medicine and Health,Medicine and Health | Social Sciences,"Education | Physical Therapy, Sports Therapy and Rehabilitation | Orthopedics and Sports Medicine",1,5943,0.0
36682343100,Borges M.d.L.,Universidade La Salle,Canoas,Economics and Business,Economics and Business,Economics and Econometrics | Marketing,1,10045,0.0
36695294900,Pérez-Martínez P.J.,Universidade Estadual de Campinas,Campinas,Tie: Chemistry | Geosciences,Geosciences | Chemistry,Environmental Science (miscellaneous) | Chemistry (all),2,2940,1.5
36696915000,Ribeiro-Vaz I.,Faculdade de Medicina da Universidade do Porto (FMUP),Porto,Medicine and Health,Medicine and Health,"Pharmacology (medical) | Pharmacology | Clinical Psychology | Psychiatry and Mental Health | Health, Toxicology and Mutagenesis | Pharmacy",3,7062,20.0
36697344200,Yousefi S.,"Islamic Azad University, Science and Research Branch",Tehran,Tie: Biology | Chemistry,Chemistry | Engineering | Biology,Food Science,1,2259,0.0
