author_id,nome,universidade,cidade,total_artigos_no_recorte,total_artigos_com_macroareas,macro_area_principal_no_recorte,macro_areas_no_recorte,num_macro_areas_no_recorte,macroarea_scores_no_recorte,macroarea_scores_por_tema_no_recorte,temas_no_recorte,total_temas_distintos_no_recorte,temas_no_recorte_com_contagem
10040418700,Reiber A.,"Universidad de Los Andes, Colombia",Bogota,1,1,Physics,Physics | Engineering,2,Physics:1 | Engineering:1,Physics:2 | Engineering:1,"Electronic, Optical and Magnetic Materials | Condensed Matter Physics",2,"Electronic, Optical and Magnetic Materials:1 | Condensed Matter Physics:1"
10043438600,Jacobus A.P.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,1,1,Biology,Biology | Chemistry,2,Biology:1 | Chemistry:1,Biology:2 | Chemistry:1,Biochemistry | Molecular Biology,2,Biochemistry:1 | Molecular Biology:1
10044272100,Camolesi L.,Universidade Estadual de Campinas,Campinas,1,1,Economics and Business,Economics and Business | Computer Science,2,Economics and Business:1 | Computer Science:1,Economics and Business:2 | Computer Science:1,"Economics, Econometrics and Finance (all) | Business, Management and Accounting (all) | Computer Science (all)",3,"Economics, Econometrics and Finance (all):1 | Business, Management and Accounting (all):1 | Computer Science (all):1"
10044311600,Fakhouri F.M.,Universitat Politècnica de Catalunya,Barcelona,7,7,Chemistry,Chemistry | Engineering | Biology | Medicine and Health | Social Sciences,5,Chemistry:6 | Engineering:6 | Biology:4 | Medicine and Health:2 | Social Sciences:1,Chemistry:10 | Biology:8 | Engineering:7 | Medicine and Health:3 | Social Sciences:1,"Chemistry (miscellaneous) | Food Science | Chemistry (all) | Polymers and Plastics | Analytical Chemistry | Molecular Medicine | Pharmaceutical Science | Drug Discovery | Physical and Theoretical Chemistry | Organic Chemistry | Agricultural and Biological Sciences (all) | Biochemistry, Genetics and Molecular Biology (all) | Engineering (all) | Medicine (all) | Engineering (miscellaneous) | Materials Science (miscellaneous) | Microbiology | Health (social science) | Health Professions (miscellaneous) | Plant Science",20,"Chemistry (miscellaneous):2 | Food Science:2 | Chemistry (all):2 | Polymers and Plastics:2 | Analytical Chemistry:1 | Molecular Medicine:1 | Pharmaceutical Science:1 | Drug Discovery:1 | Physical and Theoretical Chemistry:1 | Organic Chemistry:1 | Agricultural and Biological Sciences (all):1 | Biochemistry, Genetics and Molecular Biology (all):1 | Engineering (all):1 | Medicine (all):1 | Engineering (miscellaneous):1 | Materials Science (miscellaneous):1 | Microbiology:1 | Health (social science):1 | Health Professions (miscellaneous):1 | Plant Science:1"
10044784300,Lueke B.,Bayer AG,Leverkusen,1,1,Biology,Biology,1,Biology:1,Biology:1,Insect Science,1,Insect Science:1
10045081700,Costa A.G.F.,Embrapa Algodão,Campina Grande,1,1,Biology,Biology,1,Biology:1,Biology:2,Agronomy and Crop Science | Plant Science,2,Agronomy and Crop Science:1 | Plant Science:1
10045319200,Richiano S.,Centro Nacional Patagónico,Puerto Madryn,1,1,Geosciences,Geosciences | Biology,2,Geosciences:1 | Biology:1,Geosciences:3 | Biology:1,Geology | Stratigraphy | Paleontology,3,Geology:1 | Stratigraphy:1 | Paleontology:1
10045571300,Nagalingam A.,Johns Hopkins University School of Medicine,Baltimore,1,1,Biology,Biology | Chemistry | Engineering,3,Biology:1 | Chemistry:1 | Engineering:1,Biology:2 | Chemistry:1 | Engineering:1,Food Science | Molecular Biology,2,Food Science:1 | Molecular Biology:1
10046424800,Figueiredo G.,Universidade de Brasília,Brasília,9,9,Mathematics and Statistics,Mathematics and Statistics | Other/Unclassified,2,Mathematics and Statistics:8 | Other/Unclassified:5,Mathematics and Statistics:9 | Other/Unclassified:5,Applied Mathematics | Analysis | Mathematics (all) | Discrete Mathematics and Combinatorics,4,Applied Mathematics:5 | Analysis:5 | Mathematics (all):3 | Discrete Mathematics and Combinatorics:1
10138852200,Fronza M.,Universidade Vila Velha,Vila Velha,1,1,Chemistry,Chemistry | Biology,2,Chemistry:1 | Biology:1,Chemistry:2 | Biology:1,Analytical Chemistry | Biochemistry,2,Analytical Chemistry:1 | Biochemistry:1
10141156000,Reynolds R.F.,University of Birmingham,Birmingham,2,2,Medicine and Health,Medicine and Health | Biology | Undefined,3,Medicine and Health:1 | Biology:1 | Undefined:1,Medicine and Health:5 | Biology:1 | Undefined:1,Neuropsychology and Physiological Psychology | Neurology | Psychiatry and Mental Health | Biological Psychiatry | Behavioral Neuroscience | Multidisciplinary,6,Neuropsychology and Physiological Psychology:1 | Neurology:1 | Psychiatry and Mental Health:1 | Biological Psychiatry:1 | Behavioral Neuroscience:1 | Multidisciplinary:1
10141421300,Filho J.C.S.C.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:3,"Orthopedics and Sports Medicine | Physical Therapy, Sports Therapy and Rehabilitation | Rehabilitation",3,"Orthopedics and Sports Medicine:1 | Physical Therapy, Sports Therapy and Rehabilitation:1 | Rehabilitation:1"
10142248500,Zagonel L.F.,Universidade Estadual de Campinas,Campinas,1,1,Engineering,Engineering | Biology | Chemistry,3,Engineering:1 | Biology:1 | Chemistry:1,Engineering:5 | Biology:1 | Chemistry:1,Bioengineering | Chemistry (all) | Materials Science (all) | Mechanics of Materials | Mechanical Engineering | Electrical and Electronic Engineering,6,Bioengineering:1 | Chemistry (all):1 | Materials Science (all):1 | Mechanics of Materials:1 | Mechanical Engineering:1 | Electrical and Electronic Engineering:1
10143354000,Catharino R.R.,Universidade Estadual de Campinas,Campinas,1,1,Tie: Biology | Chemistry,Chemistry | Engineering | Biology,3,Chemistry:1 | Engineering:1 | Biology:1,Chemistry:1 | Engineering:1 | Biology:1,Food Science,1,Food Science:1
10143670400,Comba J.L.D.,Universidade Federal do Rio Grande do Sul,Porto Alegre,1,1,Computer Science,Computer Science | Engineering | Medicine and Health | Biology,4,Computer Science:1 | Engineering:1 | Medicine and Health:1 | Biology:1,Computer Science:3 | Engineering:2 | Medicine and Health:2 | Biology:1,Signal Processing | Biomedical Engineering | Computer Vision and Pattern Recognition | Health Informatics,4,Signal Processing:1 | Biomedical Engineering:1 | Computer Vision and Pattern Recognition:1 | Health Informatics:1
10144066900,Marandola E.,Universidade Estadual de Campinas,Campinas,2,2,Geosciences,Undefined | Economics and Business | Geosciences | Computer Science,4,Undefined:1 | Economics and Business:1 | Geosciences:1 | Computer Science:1,Geosciences:6 | Undefined:2 | Economics and Business:1 | Computer Science:1,"Decision Sciences (all) | Management Science and Operations Research | Geography, Planning and Development | Environmental Science (all) | Geophysics | Earth-Surface Processes | Computers in Earth Sciences | Atmospheric Science",8,"Decision Sciences (all):1 | Management Science and Operations Research:1 | Geography, Planning and Development:1 | Environmental Science (all):1 | Geophysics:1 | Earth-Surface Processes:1 | Computers in Earth Sciences:1 | Atmospheric Science:1"
10144113300,Carmona V.,Universidad de Sevilla,Sevilla,5,5,Mathematics and Statistics,Mathematics and Statistics | Computer Science | Engineering | Other/Unclassified,4,Mathematics and Statistics:4 | Computer Science:3 | Engineering:2 | Other/Unclassified:1,Mathematics and Statistics:5 | Computer Science:3 | Engineering:2 | Other/Unclassified:1,Applied Mathematics | Modeling and Simulation | Numerical Analysis | Engineering (all) | Control and Systems Engineering | Analysis | Computer Science Applications,7,Applied Mathematics:4 | Modeling and Simulation:2 | Numerical Analysis:1 | Engineering (all):1 | Control and Systems Engineering:1 | Analysis:1 | Computer Science Applications:1
10242521300,Gagie T.,Dalhousie University,Halifax,1,1,Tie: Computer Science | Mathematics and Statistics,Computer Science | Mathematics and Statistics,2,Computer Science:1 | Mathematics and Statistics:1,Computer Science:3 | Mathematics and Statistics:3,Theoretical Computer Science | Geometry and Topology | Computational Theory and Mathematics | Computational Mathematics | Applied Mathematics,5,Theoretical Computer Science:1 | Geometry and Topology:1 | Computational Theory and Mathematics:1 | Computational Mathematics:1 | Applied Mathematics:1
10244705900,D’ottaviano I.,Universidade Estadual de Campinas,Campinas,2,2,Philosophy and Humanities,Philosophy and Humanities | Mathematics and Statistics,2,Philosophy and Humanities:2 | Mathematics and Statistics:1,Philosophy and Humanities:2 | Mathematics and Statistics:1,Logic | Applied Mathematics | Philosophy,3,Logic:1 | Applied Mathematics:1 | Philosophy:1
10539970600,Garmes H.M.,Universidade Estadual de Campinas,Campinas,2,2,Medicine and Health,Medicine and Health,1,Medicine and Health:2,Medicine and Health:4,"Endocrinology, Diabetes and Metabolism | Endocrinology",2,"Endocrinology, Diabetes and Metabolism:2 | Endocrinology:2"
10540689200,Wohnrath Tognoli F.M.,Universidade do Vale do Rio dos Sinos,Sao Leopoldo,1,1,Geosciences,Geosciences,1,Geosciences:1,Geosciences:1,Geology,1,Geology:1
10639386400,Gómez H.W.,Universidad de Antofagasta,Antofagasta,1,1,Mathematics and Statistics,Mathematics and Statistics,1,Mathematics and Statistics:1,Mathematics and Statistics:1,Statistics and Probability,1,Statistics and Probability:1
10639703100,Saito D.,Universidade do Estado do Amazonas,Manaus,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:1,Dentistry (all),1,Dentistry (all):1
10640725400,Dudal D.,KU Leuven,Leuven,1,1,Undefined,Undefined,1,Undefined:1,Undefined:1,Multidisciplinary,1,Multidisciplinary:1
10641480600,Denardini C.M.,Instituto Nacional de Pesquisas Espaciais,Sao Jose dos Campos,1,1,Geosciences,Geosciences,1,Geosciences:1,Geosciences:2,Environmental Science (miscellaneous) | Atmospheric Science,2,Environmental Science (miscellaneous):1 | Atmospheric Science:1
10641603500,Fariello R.,Universidade Estadual de Montes Claros,Montes Claros,3,3,Physics,Physics | Mathematics and Statistics,2,Physics:3 | Mathematics and Statistics:3,Physics:8 | Mathematics and Statistics:5,Statistical and Nonlinear Physics | Mathematical Physics | Physics and Astronomy (all) | Applied Mathematics | Statistics and Probability | Condensed Matter Physics,6,Statistical and Nonlinear Physics:3 | Mathematical Physics:2 | Physics and Astronomy (all):2 | Applied Mathematics:2 | Statistics and Probability:1 | Condensed Matter Physics:1
10642180700,de Castro H.F.,Universidade Estadual de Campinas,Campinas,11,11,Engineering,Engineering | Mathematics and Statistics | Biology | Computer Science | Physics | Other/Unclassified,6,Engineering:11 | Mathematics and Statistics:3 | Biology:2 | Computer Science:2 | Physics:1 | Other/Unclassified:1,Engineering:29 | Mathematics and Statistics:3 | Biology:2 | Computer Science:2 | Physics:1 | Other/Unclassified:1,Mechanical Engineering | Engineering (all) | Industrial and Manufacturing Engineering | Automotive Engineering | Aerospace Engineering | Applied Mathematics | Materials Science (all) | Bioengineering | Mechanics of Materials | Computer Science Applications | Biophysics | Control and Systems Engineering | Computer Science (miscellaneous) | Control and Optimization | Electrical and Electronic Engineering,15,Mechanical Engineering:10 | Engineering (all):4 | Industrial and Manufacturing Engineering:4 | Automotive Engineering:3 | Aerospace Engineering:3 | Applied Mathematics:3 | Materials Science (all):1 | Bioengineering:1 | Mechanics of Materials:1 | Computer Science Applications:1 | Biophysics:1 | Control and Systems Engineering:1 | Computer Science (miscellaneous):1 | Control and Optimization:1 | Electrical and Electronic Engineering:1
10739967500,Kratz J.M.,Drugs for Neglected Diseases initiative (DNDi),Rio de Janeiro,1,1,Chemistry,Chemistry,1,Chemistry:1,Chemistry:1,Chemistry (all),1,Chemistry (all):1
10839624200,Prado J.D.,A.C.Camargo Cancer Center,Sao Paulo,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:5,"Surgery | Oral Surgery | Pathology and Forensic Medicine | Dentistry (all) | Radiology, Nuclear Medicine and Imaging",5,"Surgery:1 | Oral Surgery:1 | Pathology and Forensic Medicine:1 | Dentistry (all):1 | Radiology, Nuclear Medicine and Imaging:1"
10839904000,Jaguar G.C.,A.C.Camargo Cancer Center,Sao Paulo,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:1,Oncology,1,Oncology:1
10939275100,Pereira L.,Universität Ulm,Ulm,2,2,Biology,Biology,1,Biology:2,Biology:4,"Plant Science | Physiology | Ecology, Evolution, Behavior and Systematics",3,"Plant Science:2 | Physiology:1 | Ecology, Evolution, Behavior and Systematics:1"
11041215900,Nalin M.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,1,1,Engineering,Engineering,1,Engineering:1,Engineering:2,Instrumentation | Electrical and Electronic Engineering,2,Instrumentation:1 | Electrical and Electronic Engineering:1
11041471000,Salles-Filho S.,Universidade Estadual de Campinas,Campinas,15,15,Economics and Business,Economics and Business | Undefined | Social Sciences | Computer Science | Mathematics and Statistics | Geosciences | Engineering | Arts | Philosophy and Humanities | Medicine and Health,10,Economics and Business:11 | Undefined:8 | Social Sciences:6 | Computer Science:5 | Mathematics and Statistics:4 | Geosciences:3 | Engineering:1 | Arts:1 | Philosophy and Humanities:1 | Medicine and Health:1,Economics and Business:18 | Social Sciences:9 | Computer Science:9 | Undefined:8 | Mathematics and Statistics:8 | Geosciences:3 | Engineering:1 | Arts:1 | Philosophy and Humanities:1 | Medicine and Health:1,"Management Science and Operations Research | Computer Science Applications | Applied Mathematics | Modeling and Simulation | Statistics and Probability | Public Administration | Geography, Planning and Development | Management, Monitoring, Policy and Law | Economics, Econometrics and Finance (all) | Social Sciences (all) | Strategy and Management | Management of Technology and Innovation | Business, Management and Accounting (all) | Library and Information Sciences | Business and International Management | Accounting | Engineering (all) | Arts and Humanities (all) | Psychology (all)",19,"Management Science and Operations Research:7 | Computer Science Applications:5 | Applied Mathematics:4 | Modeling and Simulation:4 | Statistics and Probability:4 | Public Administration:4 | Geography, Planning and Development:3 | Management, Monitoring, Policy and Law:3 | Economics, Econometrics and Finance (all):3 | Social Sciences (all):2 | Strategy and Management:2 | Management of Technology and Innovation:2 | Business, Management and Accounting (all):2 | Library and Information Sciences:1 | Business and International Management:1 | Accounting:1 | Engineering (all):1 | Arts and Humanities (all):1 | Psychology (all):1"
11140774200,Guadanucci J.P.L.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,1,1,Biology,Biology | Other/Unclassified | Geosciences,3,Biology:1 | Other/Unclassified:1 | Geosciences:1,Biology:2 | Other/Unclassified:1 | Geosciences:1,Ecology | Ecological Modeling | Agricultural and Biological Sciences (miscellaneous) | Nature and Landscape Conservation,4,Ecology:1 | Ecological Modeling:1 | Agricultural and Biological Sciences (miscellaneous):1 | Nature and Landscape Conservation:1
11141125900,Kumar R.,Royal Melbourne Hospital,Melbourne,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:2,Surgery | Otorhinolaryngology,2,Surgery:1 | Otorhinolaryngology:1
11240082200,McGehee R.,University of Minnesota Twin Cities,Minneapolis,1,1,Physics,Physics | Mathematics and Statistics,2,Physics:1 | Mathematics and Statistics:1,Physics:3 | Mathematics and Statistics:2,Statistical and Nonlinear Physics | Mathematical Physics | Condensed Matter Physics | Applied Mathematics,4,Statistical and Nonlinear Physics:1 | Mathematical Physics:1 | Condensed Matter Physics:1 | Applied Mathematics:1
11240893200,Almeida A.R.,Pontificia Universidade Catolica de Campinas,Campinas,2,2,Medicine and Health,Medicine and Health,1,Medicine and Health:2,Medicine and Health:3,Otorhinolaryngology | Neurology (clinical),2,Otorhinolaryngology:2 | Neurology (clinical):1
11339072000,Firmino R.,Pontifícia Universidade Católica do Paraná,Curitiba,1,1,Social Sciences,Social Sciences | Computer Science,2,Social Sciences:1 | Computer Science:1,Social Sciences:3 | Computer Science:1,Information Systems | Communication | Sociology and Political Science | Public Administration,4,Information Systems:1 | Communication:1 | Sociology and Political Science:1 | Public Administration:1
11438764100,Gandra P.G.,Universidade Estadual de Campinas,Campinas,1,1,Biology,Biology | Physics | Engineering | Medicine and Health,4,Biology:1 | Physics:1 | Engineering:1 | Medicine and Health:1,Biology:2 | Physics:1 | Engineering:1 | Medicine and Health:1,Biophysics | Biomedical Engineering,2,Biophysics:1 | Biomedical Engineering:1
11439250900,Attili de Angelis D.,Universidade Estadual de Campinas,Campinas,4,4,Biology,Biology | Geosciences | Engineering,3,Biology:3 | Geosciences:2 | Engineering:1,Biology:4 | Geosciences:2 | Engineering:1,"Renewable Energy, Sustainability and the Environment | Plant Science | Ecology, Evolution, Behavior and Systematics | Biotechnology | Environmental Science (miscellaneous) | Agricultural and Biological Sciences (miscellaneous)",6,"Renewable Energy, Sustainability and the Environment:1 | Plant Science:1 | Ecology, Evolution, Behavior and Systematics:1 | Biotechnology:1 | Environmental Science (miscellaneous):1 | Agricultural and Biological Sciences (miscellaneous):1"
11440300600,Perles C.E.,Universidade Estadual de Campinas,Campinas,1,1,Chemistry,Chemistry | Engineering,2,Chemistry:1 | Engineering:1,Chemistry:2 | Engineering:1,Chemistry (all) | Chemical Engineering (all),2,Chemistry (all):1 | Chemical Engineering (all):1
11539663100,Quatraro F.,Università degli Studi di Torino,Turin,1,1,Tie: Geosciences | Social Sciences,Geosciences | Social Sciences,2,Geosciences:1 | Social Sciences:1,Geosciences:1 | Social Sciences:1,Environmental Science (all) | Social Sciences (all),2,Environmental Science (all):1 | Social Sciences (all):1
11541014500,Kopnina H.,University of Northumbria,Newcastle,1,1,Tie: Biology | Chemistry | Geosciences | Philosophy and Humanities,Chemistry | Philosophy and Humanities | Biology | Geosciences,4,Chemistry:1 | Philosophy and Humanities:1 | Biology:1 | Geosciences:1,Chemistry:1 | Philosophy and Humanities:1 | Biology:1 | Geosciences:1,Environmental Chemistry | History | Agricultural and Biological Sciences (miscellaneous) | Environmental Science (all),4,Environmental Chemistry:1 | History:1 | Agricultural and Biological Sciences (miscellaneous):1 | Environmental Science (all):1
11738879800,Gomes M.E.B.,Universidade Federal do Rio Grande do Sul,Porto Alegre,1,1,Geosciences,Geosciences | Other/Unclassified,2,Geosciences:1 | Other/Unclassified:1,Geosciences:2 | Other/Unclassified:1,Geology | Geochemistry and Petrology | Economic Geology,3,Geology:1 | Geochemistry and Petrology:1 | Economic Geology:1
11739264400,Adams C.,Universidade de São Paulo,Sao Paulo,1,1,Biology,Biology,1,Biology:1,Biology:1,"Ecology, Evolution, Behavior and Systematics",1,"Ecology, Evolution, Behavior and Systematics:1"
11739296200,Simionato A.V.C.,Universidade Estadual de Campinas,Campinas,9,9,Biology,Biology | Chemistry | Medicine and Health | Engineering,4,Biology:9 | Chemistry:6 | Medicine and Health:5 | Engineering:1,Chemistry:11 | Biology:9 | Medicine and Health:6 | Engineering:4,"Biochemistry, Genetics and Molecular Biology (all) | Biochemistry | Clinical Biochemistry | Food Science | Safety, Risk, Reliability and Quality | Process Chemistry and Technology | Industrial and Manufacturing Engineering | Analytical Chemistry | Chemistry (miscellaneous) | Molecular Medicine | Pharmaceutical Science | Drug Discovery | Physical and Theoretical Chemistry | Organic Chemistry | Chemistry (all) | Medicine (all)",16,"Biochemistry, Genetics and Molecular Biology (all):4 | Biochemistry:3 | Clinical Biochemistry:3 | Food Science:1 | Safety, Risk, Reliability and Quality:1 | Process Chemistry and Technology:1 | Industrial and Manufacturing Engineering:1 | Analytical Chemistry:1 | Chemistry (miscellaneous):1 | Molecular Medicine:1 | Pharmaceutical Science:1 | Drug Discovery:1 | Physical and Theoretical Chemistry:1 | Organic Chemistry:1 | Chemistry (all):1 | Medicine (all):1"
11839154600,Parize A.L.,Universidade Federal de Santa Catarina,Florianopolis,1,1,Tie: Chemistry | Geosciences | Medicine and Health,Chemistry | Geosciences | Medicine and Health,3,Chemistry:1 | Geosciences:1 | Medicine and Health:1,Chemistry:1 | Geosciences:1 | Medicine and Health:1,"Environmental Chemistry | Pollution | Health, Toxicology and Mutagenesis",3,"Environmental Chemistry:1 | Pollution:1 | Health, Toxicology and Mutagenesis:1"
11839749100,Arismar Cerqueira S.,Instituto Nacional de Telecomunicações,Santa Rita do Sapucai,3,3,Engineering,Engineering | Computer Science | Physics | Geosciences,4,Engineering:3 | Computer Science:3 | Physics:3 | Geosciences:2,Engineering:12 | Computer Science:3 | Physics:3 | Geosciences:2,"Electrical and Electronic Engineering | Electronic, Optical and Magnetic Materials | Artificial Intelligence | Energy Engineering and Power Technology | Renewable Energy, Sustainability and the Environment | Instrumentation | Hardware and Architecture",7,"Electrical and Electronic Engineering:3 | Electronic, Optical and Magnetic Materials:3 | Artificial Intelligence:2 | Energy Engineering and Power Technology:2 | Renewable Energy, Sustainability and the Environment:2 | Instrumentation:2 | Hardware and Architecture:1"
11840063400,Zografopoulos D.C.,Consiglio Nazionale delle Ricerche,Rome,1,1,Undefined,Undefined,1,Undefined:1,Undefined:1,Multidisciplinary,1,Multidisciplinary:1
11939758400,Moreira E.,Universidade Estadual de Campinas,Campinas,1,1,Computer Science,Computer Science,1,Computer Science:1,Computer Science:3,Software | Modeling and Simulation | Computer Graphics and Computer-Aided Design,3,Software:1 | Modeling and Simulation:1 | Computer Graphics and Computer-Aided Design:1
11939831600,Brenzikofer R.,Universidade Estadual de Campinas,Campinas,1,1,Social Sciences,Social Sciences,1,Social Sciences:1,Social Sciences:1,Health (social science),1,Health (social science):1
11940056900,Tupinambás U.,Universidade Federal de Minas Gerais,Belo Horizonte,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:3,"Endocrinology, Diabetes and Metabolism | Orthopedics and Sports Medicine | Radiology, Nuclear Medicine and Imaging",3,"Endocrinology, Diabetes and Metabolism:1 | Orthopedics and Sports Medicine:1 | Radiology, Nuclear Medicine and Imaging:1"
11940527700,de Souza M.M.,"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFSULDEMINAS",Pouso Alegre,5,5,Biology,Biology,1,Biology:5,Biology:7,"Insect Science | Ecology, Evolution, Behavior and Systematics | Animal Science and Zoology | Agricultural and Biological Sciences (all)",4,"Insect Science:4 | Ecology, Evolution, Behavior and Systematics:1 | Animal Science and Zoology:1 | Agricultural and Biological Sciences (all):1"
11940724400,Barbieri A.F.,Universidade Federal de Minas Gerais,Belo Horizonte,1,1,Tie: Arts | Geosciences | Philosophy and Humanities | Social Sciences,Engineering | Arts | Philosophy and Humanities | Social Sciences | Geosciences,5,Engineering:1 | Arts:1 | Philosophy and Humanities:1 | Social Sciences:1 | Geosciences:1,Engineering:1 | Arts:1 | Philosophy and Humanities:1 | Social Sciences:1 | Geosciences:1,Engineering (all) | Arts and Humanities (all) | Social Sciences (all) | Earth and Planetary Sciences (all),4,Engineering (all):1 | Arts and Humanities (all):1 | Social Sciences (all):1 | Earth and Planetary Sciences (all):1
11941059300,Martins V.F.,Universidade Federal de São Carlos,Sao Carlos,4,4,Biology,Biology | Geosciences | Engineering | Social Sciences,4,Biology:3 | Geosciences:2 | Engineering:1 | Social Sciences:1,Biology:5 | Geosciences:3 | Engineering:1 | Social Sciences:1,"Ecology, Evolution, Behavior and Systematics | Ecology | Environmental Engineering | Waste Management and Disposal | Management, Monitoring, Policy and Law | Nature and Landscape Conservation | Plant Science",7,"Ecology, Evolution, Behavior and Systematics:2 | Ecology:2 | Environmental Engineering:1 | Waste Management and Disposal:1 | Management, Monitoring, Policy and Law:1 | Nature and Landscape Conservation:1 | Plant Science:1"
12039319200,Scherer N.M.,Instituto Nacional de Cancer,Rio de Janeiro,1,1,Biology,Biology | Medicine and Health,2,Biology:1 | Medicine and Health:1,Biology:5 | Medicine and Health:2,"Microbiology | Ecology, Evolution, Behavior and Systematics | Molecular Biology | Genetics | Microbiology (medical) | Infectious Diseases",6,"Microbiology:1 | Ecology, Evolution, Behavior and Systematics:1 | Molecular Biology:1 | Genetics:1 | Microbiology (medical):1 | Infectious Diseases:1"
12041649700,Segatelli M.G.,Universidade Estadual de Londrina,Londrina,5,5,Chemistry,Chemistry | Engineering | Biology,3,Chemistry:4 | Engineering:3 | Biology:1,Chemistry:9 | Engineering:4 | Biology:1,Chemical Engineering (all) | Chemistry (all) | Electrochemistry | Environmental Chemistry | Biochemistry | Polymers and Plastics | Materials Chemistry | Analytical Chemistry | Ceramics and Composites,9,Chemical Engineering (all):2 | Chemistry (all):2 | Electrochemistry:1 | Environmental Chemistry:1 | Biochemistry:1 | Polymers and Plastics:1 | Materials Chemistry:1 | Analytical Chemistry:1 | Ceramics and Composites:1
12042047500,Allegretti S.M.,Universidade Estadual de Campinas,Campinas,2,2,Biology,Biology | Medicine and Health,2,Biology:2 | Medicine and Health:1,Biology:4 | Medicine and Health:2,Parasitology | Immunology | Infectious Diseases | Molecular Biology,4,Parasitology:2 | Immunology:1 | Infectious Diseases:1 | Molecular Biology:1
12042067700,Pilarski F.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,1,1,Biology,Biology | Medicine and Health,2,Biology:1 | Medicine and Health:1,Biology:2 | Medicine and Health:1,Microbiology | Infectious Diseases,2,Microbiology:1 | Infectious Diseases:1
12042528300,Chizzotti M.L.,Universidade Federal de Vicosa,Vicosa,1,1,Biology,Biology,1,Biology:1,Biology:2,Food Animals | Animal Science and Zoology,2,Food Animals:1 | Animal Science and Zoology:1
12139944800,Zoccal L.B.,Universidade Federal de Itajubá,Itajuba,1,1,Engineering,Engineering,1,Engineering:1,Engineering:1,Electrical and Electronic Engineering,1,Electrical and Electronic Engineering:1
12140426000,Moreira L.R.,Laboratório MULTIPAT,Campinas,1,1,Medicine and Health,Medicine and Health,1,Medicine and Health:1,Medicine and Health:3,"Surgery | Endocrinology, Diabetes and Metabolism | Nutrition and Dietetics",3,"Surgery:1 | Endocrinology, Diabetes and Metabolism:1 | Nutrition and Dietetics:1"
12140978500,Gimenez S.P.,Centro Universitario da FEI,Sao Bernardo do Campo,1,1,Engineering,Engineering | Biology | Physics,3,Engineering:1 | Biology:1 | Physics:1,Engineering:2 | Biology:1 | Physics:1,"Biotechnology | Electronic, Optical and Magnetic Materials | Electrical and Electronic Engineering",3,"Biotechnology:1 | Electronic, Optical and Magnetic Materials:1 | Electrical and Electronic Engineering:1"
