author_id,nome,universidade,cidade,total_artigos_no_recorte,total_artigos_com_macroareas,macro_area_principal_no_recorte,macro_areas_no_recorte,num_macro_areas_no_recorte,macroarea_scores_no_recorte,macroarea_scores_por_tema_no_recorte,temas_no_recorte,total_temas_distintos_no_recorte,temas_no_recorte_com_contagem
57221174396,Gomes de Araújo-Neto V.,Universidade Estadual de Campinas,Campinas,2,2,Engineering,Engineering | Biology | Medicine and Health | Chemistry,4,Engineering:2 | Biology:2 | Medicine and Health:1 | Chemistry:1,Engineering:6 | Biology:3 | Medicine and Health:1 | Chemistry:1,Biomaterials | Biomedical Engineering | Mechanics of Materials | Chemical Engineering (all) | Polymers and Plastics,5,Biomaterials:2 | Biomedical Engineering:1 | Mechanics of Materials:1 | Chemical Engineering (all):1 | Polymers and Plastics:1
57221174541,Fernandes de Castro E.,Universidade Estadual de Campinas,Campinas,1,1,Engineering,Engineering | Biology | Medicine and Health,3,Engineering:1 | Biology:1 | Medicine and Health:1,Engineering:3 | Biology:2 | Medicine and Health:1,Biomaterials | Biomedical Engineering | Mechanics of Materials,3,Biomaterials:1 | Biomedical Engineering:1 | Mechanics of Materials:1
57221200208,Borges M.H.R.,Universidade Estadual de Campinas,Campinas,2,2,Engineering,Engineering | Chemistry | Medicine and Health | Biology,4,Engineering:2 | Chemistry:1 | Medicine and Health:1 | Biology:1,Engineering:4 | Chemistry:2 | Medicine and Health:2 | Biology:1,Chemistry (all) | Engineering (all) | Chemical Engineering (all) | Materials Science (all) | Surgery | Biomedical Engineering,6,Chemistry (all):1 | Engineering (all):1 | Chemical Engineering (all):1 | Materials Science (all):1 | Surgery:1 | Biomedical Engineering:1
57221200427,Detogni A.C.,Universidade Estadual de Campinas,Campinas,3,3,Medicine and Health,Medicine and Health | Engineering | Biology | Chemistry,4,Medicine and Health:2 | Engineering:1 | Biology:1 | Chemistry:1,Engineering:3 | Medicine and Health:2 | Biology:1 | Chemistry:1,Dentistry (all) | Biomaterials | Chemical Engineering (all) | Polymers and Plastics,4,Dentistry (all):2 | Biomaterials:1 | Chemical Engineering (all):1 | Polymers and Plastics:1
57221209077,Crespo R.G.,International University of La Rioja,Logrono,1,1,Computer Science,Computer Science,1,Computer Science:1,Computer Science:1,Software,1,Software:1
57221221089,Urakawa A.H.,Institute of Botany,Sao Paulo,1,1,Biology,Biology,1,Biology:1,Biology:3,"Ecology, Evolution, Behavior and Systematics | Agronomy and Crop Science | Plant Science",3,"Ecology, Evolution, Behavior and Systematics:1 | Agronomy and Crop Science:1 | Plant Science:1"
57221222767,Consoli L.,Universidade Estadual de Campinas,Campinas,3,3,Chemistry,Chemistry | Engineering | Biology | Undefined,4,Chemistry:2 | Engineering:2 | Biology:1 | Undefined:1,Chemistry:3 | Engineering:2 | Biology:1 | Undefined:1,Food Science | Chemical Engineering (all) | Physical and Theoretical Chemistry | Multidisciplinary,4,Food Science:1 | Chemical Engineering (all):1 | Physical and Theoretical Chemistry:1 | Multidisciplinary:1
57221222832,Camargo G.M.,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,1,1,Tie: Economics and Business | Social Sciences,Social Sciences | Economics and Business | Engineering,3,Social Sciences:1 | Economics and Business:1 | Engineering:1,Social Sciences:1 | Economics and Business:1 | Engineering:1,Education | Strategy and Management | Electrical and Electronic Engineering,3,Education:1 | Strategy and Management:1 | Electrical and Electronic Engineering:1
57221226716,Déus F.R.,Universidade Estadual de Campinas,Campinas,4,4,Social Sciences,Social Sciences | Philosophy and Humanities | Medicine and Health,3,Social Sciences:4 | Philosophy and Humanities:2 | Medicine and Health:1,Social Sciences:8 | Philosophy and Humanities:2 | Medicine and Health:1,"Sociology and Political Science | Law | Education | History | Cultural Studies | Anthropology | Urban Studies | Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",8,"Sociology and Political Science:3 | Law:2 | Education:1 | History:1 | Cultural Studies:1 | Anthropology:1 | Urban Studies:1 | Pharmacology, Toxicology and Pharmaceutics (miscellaneous):1"
57221226722,Alves F.H.,Universidade Federal do Parana,Curitiba,2,2,Computer Science,Computer Science,1,Computer Science:2,Computer Science:6,Information Systems | Computer Science Applications | Information Systems and Management,3,Information Systems:2 | Computer Science Applications:2 | Information Systems and Management:2
