author_id_source,author_name_source,macroarea_source,author_id_target,author_name_target,macroarea_target,same_macroarea,edge_betweenness
57196451646,Vieira Olivieri G.,Physics,57741729700,Emi Hoga H.,Tie: Chemistry | Physics,False,4096.561129
57204507199,Jacob L.M.d.S.,Medicine and Health,8343086500,Shimo A.K.K.,Medicine and Health,True,4094.286994
56560075300,Mafetoni R.R.,Medicine and Health,8343086500,Shimo A.K.K.,Medicine and Health,True,4094.286994
57205197486,Garcia F.D.A.,Engineering,57979904000,Medeiros D.S.,Engineering,True,4093.587013
24469232600,Saotome O.,Engineering,57205197486,Garcia F.D.A.,Engineering,True,4093.587013
59324616500,Carneiro T.F.,Geosciences,6701501754,Berni M.,Engineering,False,4093.289972
55895199400,Trindade S.G.,Chemistry,57220026656,Williams A.P.,Engineering,False,4092.865248
58296732700,de Souza M.M.,Economics and Business,60099549700,de Oliveira Russo T.,Economics and Business,True,4091.844928
57224179247,Saito F.A.,Chemistry,57355537400,Leão L.P.M.O.,Chemistry,True,4088.621357
57202668445,Duarte M.,Chemistry,57355537400,Leão L.P.M.O.,Chemistry,True,4088.621357
7004317950,Andreani R.,Mathematics and Statistics,8326861000,Schuverdt M.L.,Computer Science,False,4088.540026
24468212200,Gueiros L.A.,Medicine and Health,59256391500,Esteves-Pereira T.C.,Medicine and Health,True,4086.784856
23110820000,Mazine F.F.,Biology,57211228087,Gaem P.H.,Biology,True,4086.775689
57190004220,Chiminazzo J.G.C.,Medicine and Health,57816516200,De Moraes G.A.,Medicine and Health,True,4086.721236
6602490359,Gongora-Rubio M.R.,Engineering,7003359246,Pavanello R.,Engineering,True,4085.682795
55967601300,Ellero M.,Engineering,7003359246,Pavanello R.,Engineering,True,4085.682795
37043887500,González A.L.,Biology,57224975269,Konnovitch T.,Biology,True,4080.17845
56862290300,Nessel M.P.,Biology,57224975269,Konnovitch T.,Biology,True,4080.17845
36470404500,Haeser G.,Mathematics and Statistics,8326861000,Schuverdt M.L.,Computer Science,False,4077.690026
55846257200,Casseb R.F.,Medicine and Health,57209182762,Feitosa J.A.,Medicine and Health,True,4077.565372
57200035416,Rodriguez A.C.F.,Computer Science,57205596425,Negrete P.D.M.,Tie: Computer Science | Undefined,False,4077.295637
36991101500,Neri-Numa I.A.,Biology,59373629500,Ishimoto C.K.,Biology,True,4076.886875
58621385500,Schmitt C.R.,Chemistry,6603311220,Mazali I.O.,Chemistry,True,4076.704689
57195358619,Minango J.,Computer Science,57200035416,Rodriguez A.C.F.,Computer Science,True,4076.62897
35783435300,Martin do Prado J.,Chemistry,57208408260,Rosa P.T.V.,Chemistry,True,4072.821395
57195248368,Alves E.A.,Chemistry,57197055284,Carvalho F.M.,Tie: Biology | Chemistry,False,4070.666371
57204529679,de Carvalho G.R.,Chemistry,6601977808,Lona L.M.F.,Engineering,False,4067.448738
57203028938,Oliveira R.S.,Biology,59156873900,Faggiani A.P.S.,Biology,True,4067.317095
57210566450,Soares M.V.T.,Geosciences,58245835700,da Silva Bomfim L.,Geosciences,True,4066.962582
7005330448,Vargas P.A.,Medicine and Health,7102196582,Rocha A.C.,Medicine and Health,True,4065.522016
56132412700,Hernández-Mena L.E.,Engineering,59203051800,Fernandez I.,Chemistry,False,4059.700717
56132412700,Hernández-Mena L.E.,Engineering,59202598200,Pereira Y.L.,Chemistry,False,4059.700717
56132412700,Hernández-Mena L.E.,Engineering,59202598100,Garcia E.,Chemistry,False,4059.700717
35774164800,Jaarsma D.,Social Sciences,36139031800,Pompei Sacardo D.,Social Sciences,True,4059.436223
56702507800,Morais F.,Engineering,57214181141,Mello J.M.,Computer Science,False,4057.309298
42261328400,Duarte L.F.C.,Computer Science,56702507800,Morais F.,Engineering,False,4057.309298
53878705300,Sperança L.,Mathematics and Statistics,57215149266,Cavenaghi L.F.,Mathematics and Statistics,True,4056.837685
23134993400,Macedo J.A.,Chemistry,58318268900,Guilherme Sebastião V.,Tie: Biology | Chemistry,False,4053.469692
36868308600,Bin A.,Economics and Business,56026441200,Mena-Chalco J.P.,Computer Science,False,4051.740144
35319586400,Figueiredo Angolini C.F.,Biology,57189270902,Arruda H.S.,Biology,True,4051.052401
60428309000,Santos-Silva A.R.,Medicine and Health,6701587621,Migliorati C.A.,Medicine and Health,True,4050.258961
14032097800,Romano J.M.T.,Computer Science,54410372700,da Costa M.N.,Computer Science,True,4049.975843
14032097800,Romano J.M.T.,Computer Science,7103098626,Cichocki A.,Computer Science,True,4049.975843
55648098400,Roque-Torres G.D.,Medicine and Health,57194647407,Gaêta-Araujo H.,Medicine and Health,True,4049.66865
53986543100,Nascimento S.L.,Medicine and Health,56938785300,Mira T.A.D.,Medicine and Health,True,4049.247399
56596677400,Olivo E.E.B.,Computer Science,57195550569,Mora H.R.C.,Engineering,False,4049.127636
57226613428,Vansan Gonçalves J.A.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4048.955503
57190287861,de Araujo R.J.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4048.955503
57218311571,Catini R.d.C.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4048.455503
57210186381,Lombello L.O.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4048.455503
57208899553,Moreno A.J.,Mathematics and Statistics,57222981619,Saavedra J.,Mathematics and Statistics,True,4048.421732
57202950840,Tessler J.F.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4048.288836
57776966500,da Silva Vieira Coelho R.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4047.955503
55549970600,Selleri F.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4047.955503
15770310400,Pereira F.E.D.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4047.955503
41261303800,Giesbrecht M.,Engineering,58665989300,Gialluca G.T.,Engineering,True,4047.770746
41261303800,Giesbrecht M.,Engineering,58664785100,Gialluca G.T.,Engineering,True,4047.770746
58506954900,Sandoval G.O.,Social Sciences,59531762400,Fischer T.G.,Social Sciences,True,4046.49067
23049717000,Gómez W.,Tie: Computer Science | Economics and Business | Mathematics and Statistics | Undefined,57188705610,Ramos A.,Mathematics and Statistics,False,4045.875925
57218257221,Fernandes L.S.,Tie: Biology | Chemistry | Medicine and Health,60104419100,Pontes J.G.d.M.,Biology,False,4045.312841
57262381700,Dametto M.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4044.455503
57465959400,de Figueiredo E.B.,Computer Science,6506078089,Bonacin R.,Computer Science,True,4044.455503
57627052700,Rodrigues J.,Computer Science,6602460649,Appenzeller S.,Medicine and Health,False,4042.325817
35555798600,de Paula E.,Medicine and Health,7003405538,Bordallo H.N.,Tie: Biology | Chemistry | Mathematics and Statistics | Medicine and Health,False,4041.394814
35555798600,de Paula E.,Medicine and Health,55931753000,Mitsutake H.,Chemistry,False,4041.394814
35555798600,de Paula E.,Medicine and Health,57194769305,Rodrigues da Silva G.H.,Medicine and Health,True,4040.228147
56509520400,Galdino F.E.,Engineering,57226515330,Sousa Ribeiro I.R.,Engineering,True,4037.489767
57194827047,Picco A.S.,Engineering,57202600599,Mondo G.B.,Physics,False,4035.156433
57194827047,Picco A.S.,Engineering,57324475200,Cathcarth M.,Physics,False,4035.156433
57194827047,Picco A.S.,Engineering,9846011800,Longo G.S.,Physics,False,4035.156433
57189040001,Manhães A.P.,Social Sciences,57201430220,Guidotti V.,Social Sciences,True,4029.393091
60018349100,Silva M.L.A.d.M.,Medicine and Health,6507716063,Lajos G.J.,Medicine and Health,True,4029.04708
57197824872,Huancachoque L.A.,Engineering,58204272100,Colares R.A.,Engineering,True,4024.602068
57220038863,Banin G.,Chemistry,6601977808,Lona L.M.F.,Engineering,False,4023.888245
59413684300,de Melo E.C.R.,Chemistry,6601977808,Lona L.M.F.,Engineering,False,4023.888245
57189024806,Lima E.R.,Computer Science,57258394700,Oliveira J.R.D.,Computer Science,True,4023.578762
57194635593,Salazar-Bryam A.M.,Biology,58027988200,Braz L.M.,Biology,True,4022.908024
12805509300,da Silva M.G.C.,Chemistry,7202140793,Vieira M.G.A.,Chemistry,True,4022.49592
57132092300,Lang E.,Biology,57191343877,Margalho L.P.,Engineering,False,4022.43777
55549145500,Tarone A.G.,Chemistry,55581041300,Cazarin C.B.B.,Biology,False,4021.510093
57191343877,Margalho L.P.,Engineering,57414508000,Câmara A.A.,Tie: Biology | Chemistry,False,4021.43777
57191343877,Margalho L.P.,Engineering,57193131830,Brexó R.P.,Tie: Biology | Chemistry,False,4021.43777
55921269800,Morais C.,Social Sciences,58961807600,Da Silva Júnior C.A.,Engineering,False,4021.419759
58307618500,Teixeira C.E.G.,Medicine and Health,6506645414,Sachetto Z.,Medicine and Health,True,4021.061088
41461314400,Floriano R.,Engineering,57212208682,Silva B.H.,Engineering,True,4020.860757
57985004200,Barbosa M.B.,Engineering,7004600024,Mota L.T.M.,Undefined,False,4020.367654
57276795100,de Carvalho M.F.H.,Engineering,7004600024,Mota L.T.M.,Undefined,False,4020.367654
57194184256,Albano De Guimarães J.,Medicine and Health,6507085553,Minguini N.,Medicine and Health,True,4016.795741
57226376713,Vaz G.C.,Computer Science,59997721800,Suriyan K.,Computer Science,True,4016.783638
57226376713,Vaz G.C.,Computer Science,57820863100,Nishimura E.H.,Tie: Computer Science | Undefined,False,4016.783638
57221094686,de Sá L.A.R.,Tie: Computer Science | Undefined,57226376713,Vaz G.C.,Computer Science,False,4016.783638
57201270202,Siegle A.R.,Tie: Computer Science | Undefined,57226376713,Vaz G.C.,Computer Science,False,4016.783638
57226376713,Vaz G.C.,Computer Science,57821212600,Lima L.B.d.,Tie: Computer Science | Undefined,False,4016.450305
57226376713,Vaz G.C.,Computer Science,57226385208,Bonello D.K.,Tie: Computer Science | Undefined,False,4016.450305
57226375720,Neto U.B.,Tie: Computer Science | Undefined,57226376713,Vaz G.C.,Computer Science,False,4016.450305
57221104876,Reis V.S.,Tie: Computer Science | Undefined,57226376713,Vaz G.C.,Computer Science,False,4016.450305
57201123105,Pasupulati B.,Tie: Computer Science | Undefined,57226376713,Vaz G.C.,Computer Science,False,4016.450305
56768212800,Lustosa T.C.,Tie: Computer Science | Undefined,57226376713,Vaz G.C.,Computer Science,False,4016.450305
23019839300,Noritomi P.Y.,Tie: Computer Science | Undefined,57226376713,Vaz G.C.,Computer Science,False,4016.450305
37041692000,Pereira D.R.,Computer Science,57201114641,Ullon H.,Computer Science,True,4013.009949
56770701100,Pinto L.,Chemistry,57219358729,Santana I.M.,Chemistry,True,4012.044481
57209267807,Sganzerla W.G.,Engineering,57387844800,Brignoli S.C.,Geosciences,False,4011.538926
22987015000,Siche R.,Biology,58528669900,Figueroa-Avalos H.M.,Biology,True,4011.115677
22987015000,Siche R.,Biology,37075898100,Vejarano R.,Biology,True,4011.115677
