author_id:ID(Author),author_name,university,city,author_primary_macroarea,author_macroareas,author_topics,article_count:int,:LABEL
57189999955,Megiani A.P.T.,Universidade de São Paulo,Sao Paulo,Philosophy and Humanities,Philosophy and Humanities,History,1,Author
57190000175,Pompa C.,Universidade Estadual de Campinas,Campinas,Tie: Philosophy and Humanities | Undefined,Philosophy and Humanities | Undefined,History | Library and Information Sciences,1,Author
57190001279,Bharati A.,Lehigh University,Bethlehem,Computer Science,Computer Science,Computer Graphics and Computer-Aided Design | Human-Computer Interaction | Software,1,Author
57190004220,Chiminazzo J.G.C.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health | Physics | Biology | Social Sciences,"Physical Therapy, Sports Therapy and Rehabilitation | Biophysics | Public Health, Environmental and Occupational Health | Applied Psychology | Orthopedics and Sports Medicine | Health (social science)",4,Author
57190015285,da Motta Silva L.M.,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",Rio de Janeiro,Philosophy and Humanities,Philosophy and Humanities,Cultural Studies | History,1,Author
57190020246,Costa R.C.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Medicine (all),1,Author
57190021141,Santos-Neto Á.J.,Universidade de São Paulo,Sao Paulo,Tie: Biology | Chemistry | Medicine and Health,Chemistry | Biology | Medicine and Health,Biochemistry | Clinical Biochemistry,1,Author
57190026512,Strieder M.M.,Universidade Estadual de Campinas,Campinas,Chemistry,Chemistry | Engineering | Biology | Physics | Philosophy and Humanities | Geosciences | Medicine and Health | Computer Science,"Food Science | Chemistry (all) | Industrial and Manufacturing Engineering | Process Chemistry and Technology | Environmental Chemistry | Chemical Engineering (all) | Organic Chemistry | Safety, Risk, Reliability and Quality | Analytical Chemistry | Chemical Engineering (miscellaneous) | Biochemistry | Cultural Studies | Renewable Energy, Sustainability and the Environment | Radiology, Nuclear Medicine and Imaging | Acoustics and Ultrasonics | Inorganic Chemistry | Bioengineering | Polymers and Plastics | Materials Chemistry | Materials Science (all) | Instrumentation | Engineering (all) | Computer Science Applications | Fluid Flow and Transfer Processes | Spectroscopy | Structural Biology | Molecular Biology | Filtration and Separation",22,Author
57190028370,Montanucci M.,Technical University of Denmark,Lyngby,Mathematics and Statistics,Mathematics and Statistics,Geometry and Topology,1,Author
57190029380,Pereira E.,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Philosophy and Humanities,Philosophy and Humanities | Social Sciences,Archeology (arts and humanities) | Language and Linguistics | Anthropology | Archeology | Linguistics and Language,1,Author
57190030886,Junior J.B.S.,Laboratório Nacional de Nanotecnologia,Campinas,Chemistry,Chemistry | Physics | Engineering,Physics and Astronomy (all) | Physical and Theoretical Chemistry | Chemical Engineering (all) | Materials Science (all),2,Author
57190033305,Pereira C.S.,Universidade Estadual de Campinas,Campinas,Chemistry,Chemistry | Engineering | Computer Science | Undefined,Chemistry (all) | Chemical Engineering (all) | Computer Science Applications | Library and Information Sciences,1,Author
57190034188,Alex S.A.,St. Xavier's Catholic College of Engineering,Nagercoil,Computer Science,Computer Science | Undefined | Engineering | Mathematics and Statistics | Social Sciences,"Computer Networks and Communications | Artificial Intelligence | Computer Science Applications | Decision Sciences (all) | Computer Science (all) | Hardware and Architecture | Information Systems | Computer Vision and Pattern Recognition | Safety, Risk, Reliability and Quality | Modeling and Simulation | Instrumentation | Computational Mathematics | Computational Theory and Mathematics | Education",5,Author
57190048551,DA SILVA L.X.,Universidade Federal do Rio Grande do Sul,Porto Alegre,Tie: Economics and Business | Geosciences | Social Sciences,Geosciences | Social Sciences | Economics and Business,"Geography, Planning and Development | Tourism, Leisure and Hospitality Management",1,Author
57190048794,Gardenghi J.L.,Universidade de Brasília,Brasília,Computer Science,Computer Science | Economics and Business | Undefined | Mathematics and Statistics,Management Science and Operations Research | Theoretical Computer Science | Computer Science Applications | Modeling and Simulation | Discrete Mathematics and Combinatorics | Information Systems and Management,2,Author
57190050399,Sánchez-Alcaraz B.J.,Universidad de Murcia,Murcia,Social Sciences,Social Sciences,Social Sciences (miscellaneous),1,Author
57190051237,de Menezes F.F.,Laboratório Nacional de Biorrenováveis,Campinas,Biology,Biology | Chemistry,Structural Biology | Biochemistry | Molecular Biology,1,Author
57190062691,Frittoli R.B.,Universidade Estadual de Campinas,Campinas,Medicine and Health,Medicine and Health,Immunology and Allergy | Immunology,1,Author
57190068650,Seferidi P.,Imperial College London,London,Medicine and Health,Medicine and Health,Medicine (all),1,Author
57190068681,Tamborlin L.,Universidade Estadual de Campinas,Campinas,Chemistry,Chemistry | Biology | Medicine and Health,Biochemistry | Clinical Biochemistry | Organic Chemistry,1,Author
57190069418,Pereira K.D.,Universidade Estadual de Campinas,Campinas,Chemistry,Undefined | Chemistry | Biology | Medicine and Health,Multidisciplinary | Biochemistry | Clinical Biochemistry | Organic Chemistry,2,Author
57190071614,Tella S.O.C.,Universidade de São Paulo,Sao Paulo,Biology,Biology | Medicine and Health,Molecular Biology | Clinical Biochemistry | Cell Biology,1,Author
57190071682,de Oliveira Silva M.d.N.R.M.,Universidade de Brasília,Brasília,Medicine and Health,Medicine and Health | Social Sciences,"Health Policy | Public Health, Environmental and Occupational Health",1,Author
57190072917,Moussavi A.,Polytechnique Montréal,Montreal,Engineering,Engineering,Engineering (all),1,Author
57190090836,Romero-da-Cruz M.V.,Universidade de São Paulo,Sao Paulo,Biology,Biology,Plant Science,1,Author
57190113404,Nyoni C.N.,University of the Free State,Bloemfontein,Medicine and Health,Medicine and Health,Medicine (all),1,Author
