:START_ID(Author),:END_ID(Author),weight:int,:TYPE
11041215900,25222801300,1,COAUTHORED_WITH
11041215900,25636959900,1,COAUTHORED_WITH
11041215900,57212314332,1,COAUTHORED_WITH
11041215900,7006637649,1,COAUTHORED_WITH
11041471000,36868308600,6,COAUTHORED_WITH
11041471000,37107641900,1,COAUTHORED_WITH
11041471000,54791045400,3,COAUTHORED_WITH
11041471000,55337583500,1,COAUTHORED_WITH
11041471000,55761353700,1,COAUTHORED_WITH
11041471000,56026441200,2,COAUTHORED_WITH
11041471000,56081399500,1,COAUTHORED_WITH
11041471000,56906903200,4,COAUTHORED_WITH
11041471000,57200550747,2,COAUTHORED_WITH
11041471000,57211159662,1,COAUTHORED_WITH
11041471000,57214750709,3,COAUTHORED_WITH
11041471000,57214755482,1,COAUTHORED_WITH
11041471000,57215497382,1,COAUTHORED_WITH
11041471000,57226595631,3,COAUTHORED_WITH
11041471000,57317089000,1,COAUTHORED_WITH
11041471000,58202964200,1,COAUTHORED_WITH
11041471000,59132840300,1,COAUTHORED_WITH
11041471000,59951583400,1,COAUTHORED_WITH
11041471000,59951673800,1,COAUTHORED_WITH
11041471000,59951738400,1,COAUTHORED_WITH
11041471000,6507123949,1,COAUTHORED_WITH
11041471000,6507596032,7,COAUTHORED_WITH
11140774200,21740510400,1,COAUTHORED_WITH
11140774200,56957649900,1,COAUTHORED_WITH
11140774200,57190295944,1,COAUTHORED_WITH
11141125900,22986312800,1,COAUTHORED_WITH
11141125900,44761628700,1,COAUTHORED_WITH
11141125900,6506885528,1,COAUTHORED_WITH
11141125900,6602967797,1,COAUTHORED_WITH
11240082200,57212535329,1,COAUTHORED_WITH
11240082200,57216420363,1,COAUTHORED_WITH
11240893200,35070100100,2,COAUTHORED_WITH
11240893200,36522631400,2,COAUTHORED_WITH
11240893200,57190766278,1,COAUTHORED_WITH
11240893200,59676337300,1,COAUTHORED_WITH
11339072000,55844645300,1,COAUTHORED_WITH
11438764100,57904040900,1,COAUTHORED_WITH
11438764100,7006475541,1,COAUTHORED_WITH
11438764100,7006629961,1,COAUTHORED_WITH
11439250900,15032605700,1,COAUTHORED_WITH
11439250900,18041784200,1,COAUTHORED_WITH
11439250900,24081514000,1,COAUTHORED_WITH
11439250900,35611272000,1,COAUTHORED_WITH
11439250900,57194434650,1,COAUTHORED_WITH
11439250900,57210696636,1,COAUTHORED_WITH
11439250900,57210706661,1,COAUTHORED_WITH
11439250900,57212855906,1,COAUTHORED_WITH
11439250900,57221907699,1,COAUTHORED_WITH
11439250900,57221941405,1,COAUTHORED_WITH
11439250900,57223022179,1,COAUTHORED_WITH
11439250900,7103028117,1,COAUTHORED_WITH
11439250900,7801413705,1,COAUTHORED_WITH
11439250900,8589168500,1,COAUTHORED_WITH
11440300600,56600872900,1,COAUTHORED_WITH
11440300600,57210977636,1,COAUTHORED_WITH
11440300600,57570313600,1,COAUTHORED_WITH
11440300600,6601985149,1,COAUTHORED_WITH
11539663100,56118724000,1,COAUTHORED_WITH
11539663100,57195331847,1,COAUTHORED_WITH
11541014500,15845735400,1,COAUTHORED_WITH
11541014500,56067899600,1,COAUTHORED_WITH
11541014500,57188704775,1,COAUTHORED_WITH
11541014500,57194869142,1,COAUTHORED_WITH
11738879800,52863303200,1,COAUTHORED_WITH
11738879800,55606603600,1,COAUTHORED_WITH
11738879800,7005590767,1,COAUTHORED_WITH
11738879800,7201467237,1,COAUTHORED_WITH
11739264400,57205761542,1,COAUTHORED_WITH
11739264400,6603153404,1,COAUTHORED_WITH
11739264400,8365142800,1,COAUTHORED_WITH
11739296200,12792506700,1,COAUTHORED_WITH
11739296200,15754481800,1,COAUTHORED_WITH
11739296200,15832504100,1,COAUTHORED_WITH
11739296200,35585451000,1,COAUTHORED_WITH
11739296200,45661023000,1,COAUTHORED_WITH
11739296200,54955133600,1,COAUTHORED_WITH
11739296200,55882063100,1,COAUTHORED_WITH
11739296200,55988762100,1,COAUTHORED_WITH
11739296200,57193210476,1,COAUTHORED_WITH
11739296200,57194520838,1,COAUTHORED_WITH
11739296200,57196403337,1,COAUTHORED_WITH
11739296200,57212387543,1,COAUTHORED_WITH
11739296200,57218849349,1,COAUTHORED_WITH
11739296200,57295824000,1,COAUTHORED_WITH
11739296200,57296360700,1,COAUTHORED_WITH
11739296200,57614738900,1,COAUTHORED_WITH
11739296200,57672488300,1,COAUTHORED_WITH
11739296200,58055631900,1,COAUTHORED_WITH
11739296200,58259292300,1,COAUTHORED_WITH
11739296200,58690930300,1,COAUTHORED_WITH
11739296200,58823548400,1,COAUTHORED_WITH
11739296200,59137789800,1,COAUTHORED_WITH
11739296200,59705639800,1,COAUTHORED_WITH
11739296200,7003731118,1,COAUTHORED_WITH
11739296200,7005119089,2,COAUTHORED_WITH
11839154600,21739467100,1,COAUTHORED_WITH
11839154600,56732596700,1,COAUTHORED_WITH
11839154600,56946489700,1,COAUTHORED_WITH
11839154600,9332947100,1,COAUTHORED_WITH
11839749100,23567387400,1,COAUTHORED_WITH
11839749100,57188866581,1,COAUTHORED_WITH
11839749100,57205431970,1,COAUTHORED_WITH
11839749100,57213595044,1,COAUTHORED_WITH
11839749100,58088780800,1,COAUTHORED_WITH
11839749100,58869456500,1,COAUTHORED_WITH
11839749100,59663221900,1,COAUTHORED_WITH
11839749100,60555445900,1,COAUTHORED_WITH
11839749100,7003895942,3,COAUTHORED_WITH
11840063400,57208011067,1,COAUTHORED_WITH
11840063400,7003606184,1,COAUTHORED_WITH
11840063400,7004578182,1,COAUTHORED_WITH
11840063400,7201726564,1,COAUTHORED_WITH
11939758400,57195932397,1,COAUTHORED_WITH
11939758400,6602788025,1,COAUTHORED_WITH
11939758400,7801408313,1,COAUTHORED_WITH
11939831600,57191344418,1,COAUTHORED_WITH
11939831600,6603967186,1,COAUTHORED_WITH
11940056900,57193710299,1,COAUTHORED_WITH
11940056900,57196450581,1,COAUTHORED_WITH
11940056900,57212984015,1,COAUTHORED_WITH
11940056900,8944206600,1,COAUTHORED_WITH
11940527700,24071180400,4,COAUTHORED_WITH
11940527700,56715289800,1,COAUTHORED_WITH
11940527700,57218869315,5,COAUTHORED_WITH
11940527700,57223266412,1,COAUTHORED_WITH
11940527700,57353277000,1,COAUTHORED_WITH
11940527700,57756866500,2,COAUTHORED_WITH
11940527700,57806907600,2,COAUTHORED_WITH
11940527700,7006225492,3,COAUTHORED_WITH
11940724400,24335946500,1,COAUTHORED_WITH
11941059300,21744403800,1,COAUTHORED_WITH
11941059300,36620492300,1,COAUTHORED_WITH
11941059300,56526512000,1,COAUTHORED_WITH
11941059300,57130385900,1,COAUTHORED_WITH
11941059300,57191439732,1,COAUTHORED_WITH
11941059300,57214759263,1,COAUTHORED_WITH
11941059300,57221282338,1,COAUTHORED_WITH
11941059300,57221289368,1,COAUTHORED_WITH
11941059300,59702591000,1,COAUTHORED_WITH
11941059300,59702591100,1,COAUTHORED_WITH
11941059300,7005579412,1,COAUTHORED_WITH
11941059300,7006504347,1,COAUTHORED_WITH
12039319200,55354459900,1,COAUTHORED_WITH
12039319200,56331374700,1,COAUTHORED_WITH
12039319200,57204432210,1,COAUTHORED_WITH
12039319200,7003305314,1,COAUTHORED_WITH
12041649700,55955031000,1,COAUTHORED_WITH
12041649700,57188658361,1,COAUTHORED_WITH
12041649700,57190290435,1,COAUTHORED_WITH
12041649700,57195912919,1,COAUTHORED_WITH
12041649700,57201800870,1,COAUTHORED_WITH
12041649700,57204422327,2,COAUTHORED_WITH
12041649700,57204565956,1,COAUTHORED_WITH
12041649700,58417854700,1,COAUTHORED_WITH
12041649700,58539160100,1,COAUTHORED_WITH
12041649700,6507282718,5,COAUTHORED_WITH
12041649700,7006630533,1,COAUTHORED_WITH
12041649700,9741909100,1,COAUTHORED_WITH
12042047500,35950439400,1,COAUTHORED_WITH
12042047500,56236071200,2,COAUTHORED_WITH
12042047500,59095460200,2,COAUTHORED_WITH
12042067700,28267913900,1,COAUTHORED_WITH
12042067700,55892138900,1,COAUTHORED_WITH
12042067700,57224981650,1,COAUTHORED_WITH
12042067700,6602355208,1,COAUTHORED_WITH
12042528300,25822598300,1,COAUTHORED_WITH
12042528300,57314462000,1,COAUTHORED_WITH
12042528300,58018441900,1,COAUTHORED_WITH
12139944800,12141305200,1,COAUTHORED_WITH
12139944800,55984032500,1,COAUTHORED_WITH
12139944800,57201743645,1,COAUTHORED_WITH
12139944800,7004254113,1,COAUTHORED_WITH
12140426000,57206693050,1,COAUTHORED_WITH
12140426000,57206695020,1,COAUTHORED_WITH
12140426000,57217203538,1,COAUTHORED_WITH
12140426000,9746797800,1,COAUTHORED_WITH
12140978500,56102754400,1,COAUTHORED_WITH
12140978500,6603021478,1,COAUTHORED_WITH
12140978500,7004332423,1,COAUTHORED_WITH
12140978500,7005228726,1,COAUTHORED_WITH
12141305200,26967608300,1,COAUTHORED_WITH
12141305200,55363925500,1,COAUTHORED_WITH
12141305200,55516369700,5,COAUTHORED_WITH
12141305200,55667231400,3,COAUTHORED_WITH
12141305200,55984032500,1,COAUTHORED_WITH
12141305200,56026888300,1,COAUTHORED_WITH
12141305200,56414901900,1,COAUTHORED_WITH
12141305200,56702507800,1,COAUTHORED_WITH
12141305200,56707546300,1,COAUTHORED_WITH
12141305200,56803532000,2,COAUTHORED_WITH
12141305200,57188580071,1,COAUTHORED_WITH
12141305200,57189024806,3,COAUTHORED_WITH
12141305200,57189616779,4,COAUTHORED_WITH
12141305200,57190190455,8,COAUTHORED_WITH
12141305200,57197760365,1,COAUTHORED_WITH
12141305200,57201743645,1,COAUTHORED_WITH
12141305200,57202947398,1,COAUTHORED_WITH
12141305200,57209746692,4,COAUTHORED_WITH
12141305200,57216680948,1,COAUTHORED_WITH
12141305200,57218127514,1,COAUTHORED_WITH
12141305200,57224006974,1,COAUTHORED_WITH
12141305200,57226715767,2,COAUTHORED_WITH
12141305200,57230932100,2,COAUTHORED_WITH
12141305200,57282191300,1,COAUTHORED_WITH
12141305200,57431831400,1,COAUTHORED_WITH
12141305200,57715757800,4,COAUTHORED_WITH
12141305200,58766061200,2,COAUTHORED_WITH
12141305200,58853237000,1,COAUTHORED_WITH
12141305200,58853815000,1,COAUTHORED_WITH
12141305200,59357717700,1,COAUTHORED_WITH
12141305200,59378503600,1,COAUTHORED_WITH
12141305200,59414596200,1,COAUTHORED_WITH
12141305200,59513488400,1,COAUTHORED_WITH
12141305200,59520680000,1,COAUTHORED_WITH
12141305200,60102497000,1,COAUTHORED_WITH
12141305200,60183753800,1,COAUTHORED_WITH
12141305200,60378469600,1,COAUTHORED_WITH
12141305200,60378670700,1,COAUTHORED_WITH
12141305200,7004254113,1,COAUTHORED_WITH
12141305200,7005228726,1,COAUTHORED_WITH
12141305200,7402527117,1,COAUTHORED_WITH
12141305200,8342748400,2,COAUTHORED_WITH
12142068500,16643832400,2,COAUTHORED_WITH
12142068500,17346440000,1,COAUTHORED_WITH
12142068500,23994716100,1,COAUTHORED_WITH
12142068500,24466055600,1,COAUTHORED_WITH
12142068500,25639072300,1,COAUTHORED_WITH
12142068500,26025809800,1,COAUTHORED_WITH
12142068500,34975088200,1,COAUTHORED_WITH
12142068500,36626076000,1,COAUTHORED_WITH
12142068500,56145447300,4,COAUTHORED_WITH
12142068500,56416135000,1,COAUTHORED_WITH
12142068500,56521749400,1,COAUTHORED_WITH
12142068500,56723771800,1,COAUTHORED_WITH
12142068500,56727870200,3,COAUTHORED_WITH
12142068500,56951117400,1,COAUTHORED_WITH
12142068500,57189636515,1,COAUTHORED_WITH
12142068500,57211393824,1,COAUTHORED_WITH
12142068500,57219963986,1,COAUTHORED_WITH
12142068500,57221340443,1,COAUTHORED_WITH
12142068500,57222038917,1,COAUTHORED_WITH
12142068500,57223337147,1,COAUTHORED_WITH
12142068500,57426918500,1,COAUTHORED_WITH
12142068500,57523578800,1,COAUTHORED_WITH
12142068500,57710752800,1,COAUTHORED_WITH
12142068500,59663691000,1,COAUTHORED_WITH
12142068500,6602552881,1,COAUTHORED_WITH
12142068500,6602960547,1,COAUTHORED_WITH
12142068500,6701568093,1,COAUTHORED_WITH
12142068500,7006612363,2,COAUTHORED_WITH
12142068500,7006846311,1,COAUTHORED_WITH
12142068500,7101877042,1,COAUTHORED_WITH
12142761800,16062998800,1,COAUTHORED_WITH
12142761800,57426794900,1,COAUTHORED_WITH
12142761800,59971971900,1,COAUTHORED_WITH
12142761800,59972426700,1,COAUTHORED_WITH
12142761800,6603919610,1,COAUTHORED_WITH
12142980800,23028168300,1,COAUTHORED_WITH
12142980800,25521345500,3,COAUTHORED_WITH
12142980800,35242688000,7,COAUTHORED_WITH
12142980800,56685911700,7,COAUTHORED_WITH
12142980800,57192085431,16,COAUTHORED_WITH
12142980800,57197762506,3,COAUTHORED_WITH
12142980800,57209752178,1,COAUTHORED_WITH
12142980800,57223815414,1,COAUTHORED_WITH
12142980800,58036947000,1,COAUTHORED_WITH
12142980800,58516071000,1,COAUTHORED_WITH
12142980800,58785313100,1,COAUTHORED_WITH
12142980800,58937970400,1,COAUTHORED_WITH
12142980800,60170298500,1,COAUTHORED_WITH
12142980800,60171651000,1,COAUTHORED_WITH
12142980800,6701357481,15,COAUTHORED_WITH
12142980800,7202606880,1,COAUTHORED_WITH
12143506000,35101968300,1,COAUTHORED_WITH
12143506000,59006680300,1,COAUTHORED_WITH
12143506000,6507198930,1,COAUTHORED_WITH
12143506000,7102257782,1,COAUTHORED_WITH
12143742300,36491314800,1,COAUTHORED_WITH
12143742300,54791045400,1,COAUTHORED_WITH
12240246800,56487822900,1,COAUTHORED_WITH
12240246800,56976760600,1,COAUTHORED_WITH
12240246800,57191193090,2,COAUTHORED_WITH
12240246800,6602283142,1,COAUTHORED_WITH
12240246800,7005844374,3,COAUTHORED_WITH
12240845100,14124211800,1,COAUTHORED_WITH
12240845100,7006912075,1,COAUTHORED_WITH
12241738600,55907009500,1,COAUTHORED_WITH
12241738600,59289912700,1,COAUTHORED_WITH
12241738600,60557482200,1,COAUTHORED_WITH
12241738600,6601985149,1,COAUTHORED_WITH
12242010500,23391791000,1,COAUTHORED_WITH
12242010500,57740661800,1,COAUTHORED_WITH
12242010500,7402173770,1,COAUTHORED_WITH
12243115900,54411121300,5,COAUTHORED_WITH
12243115900,56768102100,1,COAUTHORED_WITH
12243115900,57209744416,2,COAUTHORED_WITH
12243115900,57219971272,2,COAUTHORED_WITH
12243115900,57219971673,2,COAUTHORED_WITH
12243115900,57219972999,2,COAUTHORED_WITH
12243115900,58126759500,2,COAUTHORED_WITH
12243683100,57193952937,2,COAUTHORED_WITH
12243683100,6602387255,2,COAUTHORED_WITH
12243683100,7202534688,1,COAUTHORED_WITH
12243683100,7403543608,2,COAUTHORED_WITH
12244271100,50760945800,1,COAUTHORED_WITH
12244271100,57203719306,1,COAUTHORED_WITH
12244271100,57209736310,1,COAUTHORED_WITH
12244271100,57215106487,1,COAUTHORED_WITH
12244271100,57215151178,1,COAUTHORED_WITH
12244271100,59517658700,1,COAUTHORED_WITH
12244271100,6504088842,1,COAUTHORED_WITH
12244271100,7003980008,3,COAUTHORED_WITH
12244286600,55429654100,1,COAUTHORED_WITH
12244286600,56151421000,1,COAUTHORED_WITH
12244286600,56979237100,1,COAUTHORED_WITH
12244286600,57195410197,2,COAUTHORED_WITH
12244286600,57214181336,1,COAUTHORED_WITH
12244286600,58022830700,1,COAUTHORED_WITH
12244286600,6701723514,1,COAUTHORED_WITH
12244286600,8299640100,1,COAUTHORED_WITH
12244625200,26030388400,1,COAUTHORED_WITH
12244625200,55636320349,1,COAUTHORED_WITH
12244625200,7103030548,1,COAUTHORED_WITH
12345031100,23466534300,1,COAUTHORED_WITH
12345031100,55892984300,2,COAUTHORED_WITH
12345031100,57214071013,1,COAUTHORED_WITH
12345031100,57219872771,1,COAUTHORED_WITH
12345031100,6602210432,2,COAUTHORED_WITH
12445473500,12446313600,1,COAUTHORED_WITH
12445473500,57221288693,1,COAUTHORED_WITH
12445852500,24472732900,1,COAUTHORED_WITH
12445852500,55885252600,1,COAUTHORED_WITH
12445852500,57193354587,1,COAUTHORED_WITH
12445852500,57196223604,1,COAUTHORED_WITH
12446313600,57221288693,1,COAUTHORED_WITH
12544981700,16025762200,1,COAUTHORED_WITH
12544981700,57200519866,1,COAUTHORED_WITH
12544981700,57886281200,1,COAUTHORED_WITH
12544981700,58782764700,1,COAUTHORED_WITH
12546067600,56014497900,1,COAUTHORED_WITH
12546067600,7004426962,1,COAUTHORED_WITH
12546067600,7102340175,1,COAUTHORED_WITH
12546067600,8298677400,1,COAUTHORED_WITH
12645025400,56189772900,1,COAUTHORED_WITH
12645025400,57216255590,1,COAUTHORED_WITH
12645025400,59954073000,1,COAUTHORED_WITH
12645025400,6701686533,1,COAUTHORED_WITH
12645700300,35744785100,1,COAUTHORED_WITH
12645700300,57224588100,1,COAUTHORED_WITH
12646098200,51664743600,1,COAUTHORED_WITH
12646098200,56269702600,1,COAUTHORED_WITH
12646098200,57190167574,1,COAUTHORED_WITH
12646125400,59367237000,1,COAUTHORED_WITH
12646175000,12805509300,2,COAUTHORED_WITH
12646175000,22033698600,1,COAUTHORED_WITH
12646175000,33368324200,6,COAUTHORED_WITH
12646175000,35306973000,2,COAUTHORED_WITH
12646175000,35757327400,1,COAUTHORED_WITH
12646175000,36240090800,2,COAUTHORED_WITH
12646175000,54408304200,1,COAUTHORED_WITH
12646175000,55482457000,1,COAUTHORED_WITH
12646175000,55899373400,1,COAUTHORED_WITH
12646175000,56052923000,2,COAUTHORED_WITH
12646175000,56909518300,1,COAUTHORED_WITH
12646175000,57193644769,1,COAUTHORED_WITH
12646175000,57194689262,1,COAUTHORED_WITH
12646175000,57195423689,1,COAUTHORED_WITH
12646175000,57200010646,1,COAUTHORED_WITH
12646175000,57209591609,6,COAUTHORED_WITH
12646175000,57217154962,1,COAUTHORED_WITH
12646175000,57217155322,1,COAUTHORED_WITH
12646175000,57218297467,1,COAUTHORED_WITH
12646175000,57219450972,1,COAUTHORED_WITH
12646175000,57221619809,1,COAUTHORED_WITH
12646175000,57224081255,2,COAUTHORED_WITH
12646175000,57226744544,1,COAUTHORED_WITH
12646175000,57326856600,1,COAUTHORED_WITH
12646175000,57340442100,1,COAUTHORED_WITH
12646175000,57441757800,1,COAUTHORED_WITH
12646175000,57543540600,1,COAUTHORED_WITH
12646175000,57847407700,1,COAUTHORED_WITH
12646175000,57935374200,3,COAUTHORED_WITH
12646175000,58505757700,2,COAUTHORED_WITH
12646175000,59187562400,1,COAUTHORED_WITH
12646175000,59187734700,1,COAUTHORED_WITH
12646175000,59187772300,1,COAUTHORED_WITH
12646175000,59187946800,2,COAUTHORED_WITH
12646175000,59954012800,1,COAUTHORED_WITH
12646175000,6504493073,1,COAUTHORED_WITH
12646175000,7102113002,1,COAUTHORED_WITH
12646175000,7202140793,2,COAUTHORED_WITH
12646175000,7202375924,3,COAUTHORED_WITH
12752292500,55138338400,1,COAUTHORED_WITH
12752292500,57191604670,1,COAUTHORED_WITH
12752292500,8982302600,1,COAUTHORED_WITH
12752695000,54386526400,1,COAUTHORED_WITH
12752695000,57221931145,1,COAUTHORED_WITH
12752695000,7410400145,1,COAUTHORED_WITH
12759789800,16400799800,1,COAUTHORED_WITH
12759789800,56728764800,1,COAUTHORED_WITH
12759789800,57209348174,1,COAUTHORED_WITH
12759789800,58026970400,1,COAUTHORED_WITH
12760886300,7005651527,1,COAUTHORED_WITH
12761692600,23019948000,1,COAUTHORED_WITH
12761692600,55237904100,1,COAUTHORED_WITH
